Qualifying Name,Geo_QNAME,"Fresno, California","Los Angeles-Long Beach-Anaheim, California","San Diego-Chula Vista-Carlsbad, California","New Haven-Milford, Connecticut","Tampa-St Petersburg-Clearwater, Florida","Chicago-Naperville-Elgin, Illinois","Boston-Cambridge-Newton, Massachusetts","New York-Newark-Jersey City, New York","Pittsburgh, Pennsylvania","El Paso, Texas","Ventura, California","Hackensack City, New Jersey"
Name of Area,Geo_NAME,Fresno,Los Angeles-Long Beach-Anaheim,San Diego-Chula Vista-Carlsbad,New Haven-Milford,Tampa-St Petersburg-Clearwater,Chicago-Naperville-Elgin,Boston-Cambridge-Newton,New York-Newark-Jersey City,Pittsburgh,El Paso,Ventura,Hackensack city
% White Households,PCT_ORG_WHHH,-0.022602861,-0.022748637,-0.013515521,-0.012409928,-0.012020752,-0.012642986,-0.01317304,-0.01903467,-0.00643013,-0.010232441,0.001034929,-0.037943422
% Black Households,PCT_ORG_BLHH,-0.01934236,0,0.019130435,0.032656023,0.029215359,0.004542873,0.044444444,0.005025126,0.022446689,0.082164329,0,0.022380107
% Asian Households,PCT_ORG_ASHH,0.013969732,0.031700288,0.040799334,0.05974026,0.052631579,0.059347181,0.054208274,0.04363974,0.082191781,0.086021505,0.023255814,0.039900249
% American Indian and Alaska Native Households,PCT_ORG_AMHH,0.053658537,0.048192771,0.086206897,0.170731707,0.093023256,0.111111111,0.107142857,0.085106383,0.176470588,0.084745763,0.010752688,0.086206897
% Other Race Households,PCT_ORG_ORHH,0.048013245,0.00990099,-0.002114165,0.002118644,0.052459016,0.011111111,0.018324607,0.027912621,0.037037037,0.00776699,-0.047404063,0.012320329
% Two or More Races Households,PCT_ORG_TMHH,-0.002932551,0.089866157,0.053613054,0.073593074,0.093117409,0.097560976,0.076923077,0.079787234,0.094890511,0.019920319,0.038674033,0.080645161
Total Number of Households,ORG_HOUSEHOLDS3,0.025477218,0.012038445,0.019026294,0.010408248,0.025687298,0.012990843,0.025977571,0.014151685,0.00602011,0.028557274,0.007237479,0.009106311
Hispanic Households,ORG_HISPHH,0.046207726,0.019194074,0.029009476,0.044832997,0.050881733,0.032589741,0.06923566,0.027491332,0.111329468,0.023160054,0.018087441,0.044773323
White Non-Hispanic Households,ORG_WHNHISHH,-0.006445772,-0.024399529,-0.003754472,-0.010848623,0.007601109,-0.007450005,0.007303728,-0.012294471,-0.002060665,-0.000873929,-0.004466249,-0.070100409
% Hispanic Households,PCT_ORG_HISPHH,0.020298647,0.007205044,0.009559435,0.034586466,0.024637681,0.01924353,0.041778976,0.013381369,0.108910891,-0.005277741,0.01092523,0.035385704
% White Non-Hispanic Households,PCT_ORG_WHNHISHH,-0.031144563,-0.035975267,-0.022378398,-0.021040154,-0.017520996,-0.020193303,-0.018201285,-0.026018556,-0.008095293,-0.028314917,-0.011663808,-0.078328065
"Population, Median Age",ORG_MEDAGE,0.01863354,0.019337017,0.016759777,0.022277228,0.018779343,0.01897019,0.017766497,0.020565553,0.026845638,0.018072289,0.020997375,0.01312336
Total Population,ORG_TOT_POP5,0.02861795,0.010687947,0.019222685,0.007318046,0.027369503,0.007011994,0.021090957,0.010752618,-0.003086081,0.016495119,0.005904531,0.009519094
Population Aged 0 to 5 Years,ORG_POP_0_5,-0.0088517,-0.036920657,-0.03205147,-0.047992857,-0.022957657,-0.043917602,-0.0321473,-0.045424053,-0.06152306,-0.026851583,-0.045422342,-0.057350033
Population Aged 6 to 11 Years,ORG_POP_6_11,-0.001994212,-0.023405244,-0.013522151,-0.029235969,-0.004277939,-0.029385818,-0.013924312,-0.030380044,-0.045600456,-0.017023211,-0.03063556,-0.033012954
Population Aged 12 to17 Years,ORG_POP_12_17,-0.029232683,-0.046964394,-0.031658494,-0.047936608,-0.022673676,-0.049834432,-0.027844691,-0.052437716,-0.055341138,-0.030283888,-0.042055016,-0.070402964
Population Aged 18 to 24 Years,ORG_POP_18_24,-0.011674107,-0.027757733,-0.021643421,-0.032678651,-0.015021779,-0.033017094,-0.020741121,-0.034648409,-0.043545575,-0.023399211,-0.033189594,-0.03528374
Population Aged 25 to 34 Years,ORG_POP_25_34,0.081070868,0.053701877,0.060369395,0.050849084,0.074392315,0.052812767,0.063860843,0.05591302,0.031766835,0.066595324,0.043835114,0.056087998
Population Aged 35 to 44 Years,ORG_POP_35_44,-0.001672642,-0.022676436,-0.014510841,-0.031806556,-0.012472581,-0.029054348,-0.015147064,-0.026577479,-0.050110105,-0.016283332,-0.029903337,-0.025876589
Population Aged 45 to 54 Years,ORG_POP_45_54,-0.08014818,-0.092263524,-0.087519116,-0.113804601,-0.099420919,-0.107570445,-0.095961447,-0.099712775,-0.131908401,-0.097507209,-0.106220239,-0.103311258
Population Aged 55 to 64 Years,ORG_POP_55_64,0.060851508,0.041917265,0.048984426,0.044281179,0.04736643,0.048962368,0.052142461,0.046821943,0.024559076,0.057716118,0.040567506,0.046717395
Population Aged 65 to 74 Years,ORG_POP_65_74,0.229792344,0.1990888,0.216116105,0.203570072,0.202447124,0.203852711,0.216849425,0.199083956,0.184554212,0.222050512,0.207483851,0.187883247
Population Aged 75 to 84 Years,ORG_POP_75_84,0.086591489,0.071846231,0.077744346,0.045743329,0.045106542,0.056238534,0.067340482,0.057216793,0.032210056,0.069337487,0.063316743,0.040625
Population Aged 85 Years and Older,ORG_POP_85P,0.133715773,0.129722021,0.097251554,0.048155909,0.048570094,0.071993474,0.073822262,0.079086074,0.036240122,0.090608983,0.093634899,0.049751244
% Population Aged 0 to 5 Years,PCT_ORG_POP_0_5,-0.036880927,-0.047222222,-0.05027933,-0.055643879,-0.0496,-0.051075269,-0.051282051,-0.055059524,-0.058098592,-0.042458101,-0.05047749,-0.065885798
% Population Aged 6 to 11 Years,PCT_ORG_POP_6_11,-0.029315961,-0.033244681,-0.032122905,-0.036984353,-0.030165913,-0.03539823,-0.034074074,-0.040057225,-0.041935484,-0.033084312,-0.03566879,-0.042671614
% Population Aged 12 to17 Years,PCT_ORG_POP_12_17,-0.056830601,-0.056962025,-0.050408719,-0.053691275,-0.049562682,-0.056746532,-0.046875,-0.062937063,-0.052083333,-0.046073298,-0.046818727,-0.080246914
% Population Aged 18 to 24 Years,PCT_ORG_POP_18_24,-0.039162113,-0.038267875,-0.040613718,-0.039387309,-0.040251572,-0.040509259,-0.041407867,-0.045138889,-0.040572792,-0.039499037,-0.039473684,-0.044444444
% Population Aged 25 to 34 Years,PCT_ORG_POP_25_34,0.050673509,0.04251269,0.040615385,0.043251305,0.045801527,0.045717965,0.041809459,0.044357469,0.035361842,0.04940849,0.037777778,0.046466602
% Population Aged 35 to 44 Years,PCT_ORG_POP_35_44,-0.029209622,-0.0329188,-0.033018868,-0.03874092,-0.038619556,-0.035850496,-0.034883721,-0.037093111,-0.047279215,-0.0324412,-0.035913807,-0.03537415
% Population Aged 45 to 54 Years,PCT_ORG_POP_45_54,-0.106280193,-0.102006689,-0.10472103,-0.119936458,-0.123344371,-0.113692946,-0.114509804,-0.109677419,-0.128853755,-0.112888053,-0.111199365,-0.111858705
% Population Aged 55 to 64 Years,PCT_ORG_POP_55_64,0.032015066,0.031168831,0.028716216,0.036323202,0.019508671,0.041633307,0.030097818,0.035909446,0.027759418,0.040186916,0.034108527,0.036949686
% Population Aged 65 to 74 Years,PCT_ORG_POP_65_74,0.194771242,0.185964912,0.192216981,0.19488189,0.170711974,0.195749441,0.191752577,0.186544343,0.187919463,0.201934704,0.199786325,0.177753544
% Population Aged 75 to 84 Years,PCT_ORG_POP_75_84,0.054945055,0.058679707,0.05800464,0.038095238,0.016233766,0.04842615,0.043478261,0.046121593,0.035294118,0.051219512,0.056306306,0.030092593
% Population Aged 85 Years and Older,PCT_ORG_POP_85P,0.100591716,0.122340426,0.079207921,0.039426523,0.019230769,0.06557377,0.048888889,0.064814815,0.038095238,0.073529412,0.087804878,0.038674033
Total Population,ORG_TOT_POP6,0.02861795,0.010687947,0.019222685,0.007318046,0.027369503,0.007011994,0.021090957,0.010752618,-0.003086081,0.016495119,0.005904531,0.009519094
"Population, Males Never Married (Pop 16+)",ORG_MALNOMARRY,0.061091707,0.033014193,0.036112328,0.044366465,0.056579358,0.034626233,0.043818112,0.031698138,0.016555327,0.051429631,0.039476423,0.030043938
"Population, Males Married (Pop 16+)",ORG_MALMARRY,0.029319794,0.017506221,0.030189665,0.001382903,0.032443051,0.012538634,0.024494074,0.021956922,0.003640293,0.017323025,0.007167821,0.017478319
"% Population, Males Never Married (Pop 16+)",PCT_ORG_MALNOMARRY,0.031591738,0.021851639,0.016274864,0.03728202,0.028118241,0.028007638,0.02209596,0.020625,0.01971831,0.034188034,0.033311561,0.020580475
"% Population, Males Married (Pop 16+)",PCT_ORG_MALMARRY,0.001122965,0.00686378,0.010853478,-0.006047279,0.004940711,0.00564392,0.003486056,0.011022044,0.007045561,0.000536481,0.001458435,0.007705987
"Population, Males Married and Together (Pop 16+)",ORG_MALMARTOG,0.03113099,0.018332702,0.030715351,-0.00200941,0.030919256,0.012037507,0.021772825,0.021000212,0.001539124,0.009176725,0.00909439,0.014826498
"Population, Males Married and Separated (Pop 16+)",ORG_MALMARSEP,0.040757462,-0.002218388,0.013456731,0.030213904,0.032278963,0.024768806,0.069692585,0.020989578,0.026440604,0.064945462,-0.005834306,0.041009464
"Population, Males Married and Absent (Pop 16+)",ORG_MALMARABS,0.00250501,0.017611902,0.030106088,0.052908625,0.058571222,0.01430678,0.04221517,0.03304414,0.03824309,0.059286355,-0.016452007,0.028639618
"Population, Males Widowed (Pop 16+)",ORG_MALWIDOW,0.059533117,0.034960393,0.034049058,0.024284563,0.044385077,0.032760148,0.057885733,0.021260497,0.005845474,0.033440514,0.050238663,-0.0075
"Population, Males Divorced (Pop 16+)",ORG_MALDIVORCE,0.047473153,0.023518162,0.030065029,0.027378986,0.041866375,0.024397371,0.054951065,0.036234596,0.033579636,0.03996351,0.007137491,0.039165602
"Population, Females Never Married (Pop 16+)",ORG_FEMNOMARRY,0.061770473,0.030742697,0.031515503,0.033264112,0.044713312,0.028888821,0.033977435,0.027149866,0.008664524,0.038834488,0.039677768,0.026060008
"Population, Females Married (Pop 16+)",ORG_FEMMARRY,0.015676131,0.009251832,0.020371712,-0.006637607,0.016057098,0.004409037,0.019828059,0.010310761,-0.001335103,-0.002249251,-0.003168389,0.008256999
"Population, Females Married and Together (Pop 16+)",ORG_FEMMARTOG,0.015698491,0.008854021,0.016760285,-0.010506094,0.010631758,0.003486411,0.018658647,0.009135774,-0.002980405,-0.003115998,-0.00579712,0.006506904
"Population, Females Married and Separated (Pop 16+)",ORG_FEMMARSEP,0.018235861,-0.012072616,-0.013223515,-0.020790729,0.059660684,0.008710048,0.020052168,-0.005091198,0.004846042,-0.004536433,0.001039347,0.008086253
"Population, Females Married and Absent (Pop 16+)",ORG_FEMMARABS,0.012807962,0.028185748,0.073481124,0.070018171,0.048805126,0.01791844,0.041635456,0.036236767,0.043235505,0.009338964,0.030453642,0.024011299
"Population, Females Widowed (Pop 16+)",ORG_FEMWIDOW,0.008889041,0.003575917,0.009537669,-0.015910875,0.006213536,-0.001622278,-0.002614761,-0.006184789,-0.028691287,0.021031475,0.000497531,-0.01628468
"Population, Females Divorced (Pop 16+)",ORG_FEMDIVORCE,0.053033202,0.009503118,0.034374366,0.028293345,0.052827381,0.009665936,0.032718976,0.024171192,0.015134475,0.073919944,0.00944748,0.023775216
